"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
"2",0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
"3",0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"4",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"5",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
"7",1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"9",0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0
"10",0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
"11",0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0
"12",0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
"13",0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
"14",0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0
"15",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"16",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1
"17",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
"18",0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0
